code,total_score,trend,reversion,volume,close,stop_loss,rsi,mom_20,date,rsi_rank,mom_rank
sh.605222,0.5,1.0,0.0,0.5,21.75,19.56,59.84,0.0226,2026-02-26,0.3570287539936102,0.4480830670926518
sh.603097,0.5,1.0,0.0,0.5,38.46,33.24,65.84,0.0713,2026-02-26,0.59185303514377,0.6900958466453674
sh.603100,0.5,1.0,0.0,0.5,25.27,23.73,58.56,0.0242,2026-02-26,0.3083067092651757,0.4696485623003195
sz.000932,0.5,1.0,0.0,0.5,6.63,6.01,66.91,0.0851,2026-02-26,0.6333865814696485,0.731629392971246
sh.601669,0.5,1.0,0.0,0.5,5.68,5.33,56.06,-0.0405,2026-02-26,0.22843450479233227,0.1485623003194888
sh.605118,0.5,1.0,0.0,0.5,46.5,41.53,81.8,0.1116,2026-02-26,0.9728434504792333,0.792332268370607
sh.603283,0.5,1.0,0.0,0.5,51.93,46.32,62.21,-0.0417,2026-02-26,0.4480830670926518,0.14217252396166133
sh.603279,0.5,1.0,0.0,0.5,19.75,17.99,65.68,0.1556,2026-02-26,0.5814696485623003,0.8626198083067093
sz.301305,0.5,1.0,0.0,0.5,26.82,24.61,67.33,-0.0165,2026-02-26,0.6501597444089456,0.23322683706070288
sz.300664,0.5,1.0,0.0,0.5,5.85,5.57,62.98,-0.0068,2026-02-26,0.48722044728434505,0.29313099041533547
sz.300797,0.5,0.5,0.5,0.5,18.5,17.13,59.4,-0.0133,2026-02-26,0.3402555910543131,0.25559105431309903
sh.601991,0.5,1.0,0.0,0.5,3.89,3.63,61.33,-0.0077,2026-02-26,0.41533546325878595,0.28913738019169327
sh.601611,0.5,1.0,0.0,0.5,16.18,14.47,56.77,-0.0754,2026-02-26,0.2476038338658147,0.051916932907348244
sz.300389,0.5,1.0,0.0,0.5,18.78,17.29,63.55,0.0462,2026-02-26,0.5191693290734825,0.6006389776357828
sz.001216,0.5,1.0,0.0,0.5,18.78,17.34,60.55,0.0296,2026-02-26,0.3865814696485623,0.5095846645367412
sz.001389,0.5,1.0,0.0,0.5,117.67,104.02,76.77,0.12,2026-02-26,0.9137380191693291,0.8099041533546326
sz.002130,0.5,1.0,0.0,0.5,28.73,25.77,54.55,-0.1222,2026-02-26,0.1964856230031949,0.01597444089456869
sz.000960,0.5,1.0,0.0,0.5,40.33,34.32,59.75,0.0122,2026-02-26,0.35303514376996803,0.38977635782747605
sz.002202,0.5,1.0,0.0,0.5,28.38,24.22,61.76,0.0554,2026-02-26,0.43450479233226835,0.639776357827476
sz.002185,0.5,1.0,0.0,0.5,15.12,13.43,65.38,0.0917,2026-02-26,0.5718849840255591,0.7460063897763578
sz.002140,0.5,1.0,0.0,0.5,12.37,11.42,57.3,0.0081,2026-02-26,0.2747603833865815,0.36182108626198084
sz.300109,0.5,1.0,0.0,0.5,19.74,18.03,62.29,0.0517,2026-02-26,0.4536741214057508,0.6174121405750799
sz.300138,0.5,1.0,0.0,0.5,14.1,13.29,63.74,0.0071,2026-02-26,0.5239616613418531,0.3546325878594249
sh.600961,0.5,1.0,0.0,0.5,22.16,18.95,60.17,0.1119,2026-02-26,0.36022364217252395,0.7939297124600639
sh.600874,0.5,1.0,0.0,0.5,6.38,6.1,63.45,0.0127,2026-02-26,0.5135782747603834,0.3977635782747604
sh.600867,0.5,1.0,0.0,0.5,8.94,8.41,57.12,0.0125,2026-02-26,0.26118210862619806,0.39456869009584666
sh.600863,0.5,1.0,0.0,0.5,4.97,4.63,61.3,0.0463,2026-02-26,0.41373801916932906,0.6022364217252396
sh.600839,0.5,1.0,0.0,0.5,9.89,9.16,51.99,-0.0817,2026-02-26,0.13738019169329074,0.04153354632587859
sh.601200,0.5,1.0,0.0,0.5,8.64,8.28,63.32,0.0189,2026-02-26,0.5047923322683706,0.42971246006389774
sz.300140,0.5,1.0,0.0,0.5,7.77,7.0,62.27,0.0673,2026-02-26,0.4512779552715655,0.6789137380191693
sz.000928,0.5,1.0,0.0,0.5,6.92,6.5,60.48,0.0147,2026-02-26,0.38338658146964855,0.40415335463258784
sh.600776,0.5,0.5,0.5,0.5,18.21,16.04,45.21,-0.0411,2026-02-26,0.02875399361022364,0.14696485623003194
sz.003039,0.5,1.0,0.0,0.5,16.73,15.39,55.24,-0.0721,2026-02-26,0.2012779552715655,0.06309904153354633
sh.600558,0.5,1.0,0.0,0.5,6.39,5.97,56.51,-0.0214,2026-02-26,0.24440894568690097,0.2220447284345048
sz.301087,0.5,1.0,0.0,0.5,56.01,50.8,58.91,0.0149,2026-02-26,0.323482428115016,0.40654952076677314
sz.300873,0.5,1.0,0.0,0.5,25.16,23.61,61.55,-0.0004,2026-02-26,0.4249201277955272,0.31789137380191695
sz.002993,0.5,1.0,0.0,0.5,50.09,46.3,60.17,0.0332,2026-02-26,0.36022364217252395,0.5279552715654952
sz.301571,0.5,1.0,0.0,0.5,57.63,52.26,59.17,-0.012,2026-02-26,0.3306709265175719,0.26357827476038337
sz.002783,0.5,1.0,0.0,0.5,10.26,9.53,57.48,-0.0135,2026-02-26,0.28594249201277955,0.2523961661341853
sh.600008,0.5,1.0,0.0,0.5,3.16,3.04,67.25,0.026,2026-02-26,0.645367412140575,0.48642172523961663
sz.300952,0.5,0.5,0.5,0.5,43.74,37.3,38.87,-0.1351,2026-02-26,0.006389776357827476,0.007987220447284345
sh.603297,0.471,0.8,0.0,0.5,126.1,115.47,75.38,0.1086,2026-02-26,0.8801916932907349,0.7811501597444089
sh.603328,0.471,0.8,0.0,0.5,13.33,12.25,76.62,0.1202,2026-02-26,0.9113418530351438,0.8115015974440895
sz.300643,0.471,0.8,0.0,0.5,20.35,18.78,62.95,-0.0131,2026-02-26,0.48083067092651754,0.2571884984025559
sz.300681,0.471,0.8,0.0,0.5,25.77,23.85,47.22,-0.0612,2026-02-26,0.052715654952076675,0.08466453674121406
sh.603192,0.471,0.8,0.0,0.5,27.62,25.16,58.53,-0.037,2026-02-26,0.305111821086262,0.15415335463258786
sh.603181,0.471,0.8,0.0,0.5,17.76,16.26,73.85,0.0699,2026-02-26,0.8498402555910544,0.6876996805111821
